product,utc,incidence_deg,sun_elev_deg,emission_deg,phase_deg,sun_az_deg,az_source,center_lat,center_lon,download_url,covers_site
nac.m1210230327le,2016-02-16T02:51:00+00:00,87.08,2.9200000000000017,1.67,87.35,94.74462514131697,proxy,-84.4691,35.0773,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0026/DATA/ESM2/2016047/NAC/M1210230327LE.IMG,yes
nac.m1210237363le,2016-02-16T04:48:16+00:00,86.96,3.0400000000000063,1.67,87.23,95.7373810532473,proxy,-84.4075,35.1238,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0026/DATA/ESM2/2016047/NAC/M1210237363LE.IMG,yes
nac.m1353118861le,2020-08-26T22:06:34+00:00,88.52,1.480000000000004,1.7,90.17,95.83571040029949,proxy,-84.5707,22.9041,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0044C/DATA/ESM4/2020239/NAC/M1353118861LE.IMG,yes
nac.m1496013656le,2025-03-07T19:06:29+00:00,86.5,3.5,48.99,38.86,97.81020168040688,proxy,-84.7289,29.3278,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025066/NAC/M1496013656LE.IMG,yes
nac.m129111298re,2010-05-21T20:00:32+00:00,87.67,2.3299999999999983,1.14,86.72,99.45954690283487,proxy,-84.7001,29.4384,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0003/DATA/MAP/2010141/NAC/M129111298RE.IMG,yes
nac.m1322536464le,2019-09-07T22:59:57+00:00,87.93,2.069999999999993,1.7,89.63,100.76245530937253,proxy,-84.1022,20.9926,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0040C/DATA/ESM3/2019250/NAC/M1322536464LE.IMG,yes
nac.m129124866le,2010-05-21T23:46:39+00:00,87.56,2.4399999999999977,1.69,88.91,101.37380492687907,proxy,-84.6553,28.6703,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0003/DATA/MAP/2010141/NAC/M129124866LE.IMG,yes
nac.m1496041687le,2025-03-08T02:53:40+00:00,86.27,3.730000000000004,46.06,41.35,101.7652814085853,proxy,-84.7431,28.9062,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025067/NAC/M1496041687LE.IMG,yes
nac.m1496041687re,2025-03-08T02:53:40+00:00,86.58,3.4200000000000017,49.13,38.69,101.7652814085853,proxy,-84.9005,25.8015,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025067/NAC/M1496041687RE.IMG,yes
nac.m1138847117re,2013-11-11T22:10:50+00:00,87.26,2.739999999999995,1.13,86.21,102.81401965152008,proxy,-86.0477,34.8878,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0017/DATA/ESM/2013315/NAC/M1138847117RE.IMG,yes
nac.m1138861328le,2013-11-12T02:07:41+00:00,86.99,3.010000000000005,1.68,88.5,104.81914390741568,proxy,-85.5817,31.0985,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0017/DATA/ESM/2013316/NAC/M1138861328LE.IMG,yes
nac.m1496069741le,2025-03-08T10:41:14+00:00,86.0,4.0,42.13,44.79,105.72360635931221,proxy,-84.7928,29.6745,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025067/NAC/M1496069741LE.IMG,yes
nac.m1169503267re,2014-11-01T17:46:40+00:00,86.46,3.5400000000000063,1.14,85.4,108.29357473858197,proxy,-84.5383,26.1597,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0021/DATA/ESM2/2014305/NAC/M1169503267RE.IMG,yes
nac.m1496097780le,2025-03-08T18:28:32+00:00,85.76,4.239999999999995,38.62,47.88,109.67967376391073,proxy,-84.7586,29.4037,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025067/NAC/M1496097780LE.IMG,yes
nac.m1149102237re,2014-03-10T14:49:30+00:00,86.76,3.239999999999995,1.13,86.53,109.77692578827816,proxy,-84.6301,32.6555,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0018/DATA/ESM/2014069/NAC/M1149102237RE.IMG,yes
nac.m1434867405le,2023-03-31T02:02:18+00:00,85.65,4.349999999999994,68.35,58.19,110.28004636992382,proxy,-85.0138,26.4484,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0055A/DATA/ESM5/2023090/NAC/M1434867405LE.IMG,yes
nac.m1526725737re,2026-02-26T06:14:29+00:00,85.96,4.040000000000006,23.08,64.25,111.18129146821077,proxy,-84.9043,29.7045,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0066C/DATA/ESM6/2026057/NAC/M1526725737RE.IMG,yes
nac.m175126500re,2011-11-05T10:00:34+00:00,84.94,5.060000000000002,1.14,84.14,112.04962994330326,proxy,-84.8524,29.3654,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0009/DATA/SCI/2011309/NAC/M175126500RE.IMG,yes
nac.m175133253le,2011-11-05T11:53:06+00:00,85.19,4.810000000000002,1.69,86.3,113.00231441137674,proxy,-85.2168,29.0035,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0009/DATA/SCI/2011309/NAC/M175133253LE.IMG,yes
nac.m1496125807re,2025-03-09T02:15:41+00:00,85.84,4.159999999999997,39.23,47.31,113.63447129880092,proxy,-84.9977,27.3864,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025068/NAC/M1496125807RE.IMG,yes
nac.m1496153858le,2025-03-09T10:03:11+00:00,85.36,4.640000000000001,32.29,53.57,117.59223186301791,proxy,-84.7264,28.7056,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025068/NAC/M1496153858LE.IMG,yes
nac.m111383847le,2009-10-28T15:43:00+00:00,85.43,4.569999999999993,1.71,86.17,118.17575263032661,proxy,-86.4778,27.1422,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0001/DATA/MAP/2009301/NAC/M111383847LE.IMG,yes
nac.m187933797le,2012-04-01T15:35:30+00:00,87.17,2.8299999999999983,1.68,87.57,119.11597728138192,proxy,-85.1599,29.1484,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0011/DATA/SCI/2012092/NAC/M187933797LE.IMG,yes
nac.m1496181900le,2025-03-09T17:50:33+00:00,85.23,4.769999999999996,29.64,56.0,121.54886365414852,proxy,-84.8124,29.2591,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025068/NAC/M1496181900LE.IMG,yes
nac.m1105825910le,2012-10-25T17:37:23+00:00,85.53,4.469999999999999,1.68,86.57,123.63288429050336,proxy,-85.9082,32.1718,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0013/DATA/ESM/2012299/NAC/M1105825910LE.IMG,yes
nac.m1496209932re,2025-03-10T01:37:45+00:00,85.21,4.790000000000006,28.8,56.77,125.50408447894888,proxy,-84.9897,29.9407,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025069/NAC/M1496209932RE.IMG,yes
nac.m126763379re,2010-04-24T15:48:34+00:00,86.34,3.6599999999999966,1.14,85.77,128.17622182708385,proxy,-84.4455,28.4027,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0003/DATA/MAP/2010114/NAC/M126763379RE.IMG,yes
nac.m1496237988re,2025-03-10T09:25:21+00:00,85.06,4.939999999999998,25.97,59.38,129.46269162294186,proxy,-84.9251,29.185,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0062C/DATA/ESM5/2025069/NAC/M1496237988RE.IMG,yes
nac.m1136493468re,2013-10-15T16:23:21+00:00,84.98,5.019999999999996,1.26,84.79,130.72206977030297,proxy,-85.2095,29.6056,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0017/DATA/ESM/2013288/NAC/M1136493468RE.IMG,yes
nac.m1266635336le,2017-11-29T22:54:29+00:00,86.0,4.0,1.7,87.1,133.30149656847735,proxy,-84.4592,33.5071,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0033/DATA/ESM3/2017333/NAC/M1266635336LE.IMG,yes
nac.m1289602326re,2018-08-22T18:37:39+00:00,85.9,4.099999999999994,1.15,84.85,133.8664627135734,proxy,-85.1043,29.143,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0036C/DATA/ESM3/2018234/NAC/M1289602326RE.IMG,yes
nac.m1289609351le,2018-08-22T20:34:44+00:00,86.03,3.969999999999999,1.7,87.32,134.8576665625405,proxy,-85.2852,31.1883,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0036C/DATA/ESM3/2018234/NAC/M1289609351LE.IMG,yes
nac.m1409532146re,2022-06-10T20:27:59+00:00,85.74,4.260000000000005,1.16,84.59,135.5602975646856,proxy,-84.7994,26.0415,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0051C/DATA/ESM4/2022161/NAC/M1409532146RE.IMG,yes
nac.m1259004576re,2017-09-02T15:15:09+00:00,85.05,4.950000000000003,1.15,84.15,136.62695101151414,proxy,-84.4707,24.5552,https://pds.lroc.im-ldi.com/data/LRO-L-LROC-2-EDR-V1.0/LROLRC_0032/DATA/ESM3/2017245/NAC/M1259004576RE.IMG,yes
